Plant,Dest. Desc.,Final Destination,MODE,Distance in KM,Direct Road Freight,Per Km Price,Proposed Price,Proposed Price /KM,Diff B/W Old And Propose Rate,Final_Price
1110,AGRA Depot,N000001193,LOR,1355.0,3050,2.2509225092250924,3477.0,2.5660516605166053,427.0,4422.5
1110,AHMEDNAGAR,W000000001,LOR,1025.0,2625,2.5609756097560976,2992.5,2.919512195121951,367.5,3806.25
1110,AJMER,N000000002,LOR,935.0,2300,2.4598930481283423,2622.0,2.80427807486631,322.0,3335.0
1110,ALWAR,N000000004,LOR,1210.0,2950,2.43801652892562,3363.0,2.7793388429752066,413.0,4277.5
1110,ANAND,W000000091,LOR,456.0,1100,2.412280701754386,1254.0,2.75,154.0,1595.0
1110,AURANGABAD,W000000006,LOR,965.0,2475,2.564766839378238,2821.5,2.9238341968911916,346.5,3588.75
1110,BADAUN,N000000154,LOR,1545.0,3575,2.313915857605178,4075.5,2.637864077669903,500.5,5183.75
1110,BANDHARA,W000000090,LOR,1350.0,3175,2.3518518518518516,3619.5,2.681111111111111,444.5,4603.75
1110,BELGAUM,S000000004,LOR,1390.0,3700,2.661870503597122,4218.0,3.0345323741007193,518.0,5365.0
1110,BHAVNAGAR 1,W000001172,LOR,264.0,680,2.5757575757575757,775.2,2.9363636363636365,95.20000000000005,986.0
1110,BHILAI,E000000006,LOR,1510.0,3550,2.3509933774834435,4047.0,2.6801324503311257,497.0,5147.5
1110,BHILWARA,N000000015,LOR,850.0,2100,2.4705882352941178,2394.0,2.816470588235294,294.0,3045.0
1110,BHIWADI,N000000132,LOR,1260.0,3050,2.4206349206349205,3477.0,2.7595238095238095,427.0,4422.5
1110,BHIWANDI,W000000009,LOR,900.0,2475,2.75,2821.5,3.135,346.5,3588.75
1110,BHIWANDI,W000001194,LOR,905.0,2375,2.6243093922651934,2707.5,2.9917127071823204,332.5,3443.75
1110,BHIWANI,N000000016,LOR,1290.0,3250,2.5193798449612403,3705.0,2.872093023255814,455.0,4712.5
1110,BIKANER,N000000105,LOR,1070.0,2550,2.383177570093458,2907.0,2.716822429906542,357.0,3697.5
1110,BUDHANI,W000000082,LOR,1050.0,2850,2.7142857142857144,3249.0,3.0942857142857143,399.0,4132.5
1110,CHANDAUSI,N000000200,LOR,1490.0,3450,2.315436241610738,3933.0,2.6395973154362418,483.0,5002.5
1110,CHANDOLI,N000000020,LOR,1850.0,4400,2.3783783783783785,5016.0,2.711351351351351,616.0,6380.0
1110,CHANGODAR,W000001178,LOR,501.0,925,1.8463073852295409,1054.5,2.104790419161677,129.5,1341.25
1110,CHOMU,N000000148,LOR,1106.0,2550,2.305605786618445,2907.0,2.628390596745027,357.0,3697.5
1110,CUDDAPAH,S000000011,LOR,1870.0,4550,2.4331550802139037,5187.0,2.7737967914438504,637.0,6597.5
1110,CUTTACK,E000000016,LOR,2165.0,4750,2.1939953810623556,5415.0,2.5011547344110854,665.0,6887.5
1110,DADRI (UP),N000001198,LOR,1390.0,3225,2.320143884892086,3676.5,2.6449640287769784,451.5,4676.25
1110,DAHEJ,W000000106,LOR,557.0,1380,2.4775583482944343,1573.2,2.8244165170556554,193.20000000000005,2001.0
1110,DERABASSI,N000000103,LOR,1570.0,3500,2.229299363057325,3990.0,2.5414012738853504,490.0,5075.0
1110,DERABASSI,N000001161,LOR,1505.0,3500,2.3255813953488373,3990.0,2.6511627906976742,490.0,5075.0
1110,DHULIA,W000000014,LOR,860.0,2075,2.4127906976744184,2365.5,2.750581395348837,290.5,3008.75
1110,DOMBIVALI,W000000015,LOR,940.0,2625,2.7925531914893615,2992.5,3.1835106382978724,367.5,3806.25
1110,DUG,W000000102,LOR,860.0,2475,2.877906976744186,2821.5,3.280813953488372,346.5,3588.75
