,Plant,Plant Zone,Plant Zone Desc,CFS Source,CFS Destination,Final Destination,Dest. Desc.,Route Name,MODE,Total with STO,Proposed Level,Material,Closing Stock,BUn
0,1110,W000001110,SUTRAPADA,,,N000001189,ADRI,,LOR,1841.0,L1,FGBCAGLA0050,40.0,MT
1,1110,W000001110,SUTRAPADA,,,N000001189,ADRI,,LOR,1841.0,L1,FGBCANLA0050,66.35,MT
2,1110,W000001110,SUTRAPADA,,,N000001189,ADRI,,LOR,1841.0,L1,FGBCBCLA0025,21.125,MT
3,1110,W000001110,SUTRAPADA,,,N000001189,ADRI,,LOR,1841.0,L1,FGBCDSLA0050,270.45,MT
4,1110,W000001110,SUTRAPADA,,,N000001189,ADRI,,LOR,1841.0,L1,FGBCFFLA0050,52.15,MT
5,1110,W000001110,SUTRAPADA,,,N000001189,ADRI,,LOR,1841.0,L1,FGBCFNLA0050,62.5,MT
6,1110,W000001110,SUTRAPADA,,,N000001189,ADRI,,LOR,1841.0,L1,FGBCNTLI1200,1.2,MT
7,1110,W000001110,SUTRAPADA,,,N000001189,ADRI,,LOR,1841.0,L1,FGBCTFLA0050,85.0,MT
8,1110,W000001110,SUTRAPADA,,,N000001189,ADRI,,LOR,1841.0,L1,FGBCTNLA0050,187.65,MT
9,1110,W000001110,SUTRAPADA,,,N000001189,ADRI,,LOR,1841.0,L1,FGDSDOLA0050,850.8,MT
10,1110,W000001110,SUTRAPADA,,,N000001189,ADRI,,LOR,1841.0,L1,FGDSDOLA1300,269.1,MT
11,1110,W000001110,SUTRAPADA,,,N000001189,ADRI,,LOR,1841.0,L1,FGDSEXLI0050,131.85,MT
12,1110,W000001110,SUTRAPADA,,,N000001189,ADRI,,LOR,1841.0,L1,FGDSEXLI1300,20.8,MT
13,1110,W000001110,SUTRAPADA,,,N000001189,ADRI,,LOR,1841.0,L1,FGDSSILA0050,198.0,MT
14,1110,W000001110,SUTRAPADA,,,N000001189,ADRI,,LOR,1841.0,L1,FGLSDOLA0050,436.55,MT
15,1110,W000001110,SUTRAPADA,,,N000001189,ADRI,,LOR,1841.0,L1,FGLSDTLA0050,313.6,MT
16,1110,W000001110,SUTRAPADA,,,N000001189,ADRI,,LOR,1841.0,L1,FGLSDTLA1000,78.0,MT
17,1110,W000001110,SUTRAPADA,,,N000001189,ADRI,,LOR,1841.0,L1,FGLSDTLI0050,23.7,MT
18,1110,W000001110,SUTRAPADA,,,N000001189,ADRI,,LOR,1841.0,L1,FGLSEXDT0050,200.0,MT
